company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
Redsox,redsox,https://jobs.lever.co/redsox,https://api.lever.co/v0/postings/redsox?mode=json,open-apply-jobs,2025-10-16,2026-06-25,630,,,
Redwoodcu,redwoodcu,https://jobs.lever.co/redwoodcu,https://api.lever.co/v0/postings/redwoodcu?mode=json,open-apply-jobs,2025-01-29,2026-06-25,2278,,,
Reekon Tools,reekon-tools,https://jobs.lever.co/reekon-tools,https://api.lever.co/v0/postings/reekon-tools?mode=json,open-apply-jobs,2022-02-02,2026-03-12,396,,,
Regalvoice,regalvoice,https://jobs.lever.co/regalvoice,https://api.lever.co/v0/postings/regalvoice?mode=json,open-apply-jobs,2023-01-03,2026-04-27,483,,,
Regenxbio,regenxbio,https://jobs.lever.co/regenxbio,https://api.lever.co/v0/postings/regenxbio?mode=json,open-apply-jobs,2025-11-06,2026-06-23,358,,,
Regrello,regrello,https://jobs.lever.co/regrello,https://api.lever.co/v0/postings/regrello?mode=json,open-apply-jobs,2023-02-07,2025-09-11,896,,,
Relay Commerce,relay-commerce,https://jobs.lever.co/relay-commerce,https://api.lever.co/v0/postings/relay-commerce?mode=json,open-apply-jobs,2026-03-13,2026-05-01,186,,,
Remedyproductstudio,remedyproductstudio,https://jobs.lever.co/remedyproductstudio,https://api.lever.co/v0/postings/remedyproductstudio?mode=json,open-apply-jobs,2023-03-24,2026-02-03,474,,,
Remofirst,remofirst,https://jobs.lever.co/remofirst,https://api.lever.co/v0/postings/remofirst?mode=json,open-apply-jobs,2025-02-21,2026-06-11,1151,,,
Renegade,renegade,https://jobs.lever.co/renegade,https://api.lever.co/v0/postings/renegade?mode=json,open-apply-jobs,2026-01-14,2026-01-22,192,,,
Renofi,renofi,https://jobs.lever.co/renofi,https://api.lever.co/v0/postings/renofi?mode=json,open-apply-jobs,2022-12-14,2026-06-10,240,,,
Reply,reply,https://jobs.lever.co/reply,https://api.lever.co/v0/postings/reply?mode=json,open-apply-jobs,2025-05-12,2026-06-16,3286,,,
Repurposeglobal,repurposeglobal,https://jobs.lever.co/repurposeglobal,https://api.lever.co/v0/postings/repurposeglobal?mode=json,open-apply-jobs,2026-02-11,2026-05-20,411,,,
Researchgate,researchgate,https://jobs.lever.co/researchgate,https://api.lever.co/v0/postings/researchgate?mode=json,open-apply-jobs,2026-01-28,2026-06-01,150,,,
Researchinnovations.Com,researchinnovations.com,https://jobs.lever.co/researchinnovations.com,https://api.lever.co/v0/postings/researchinnovations.com?mode=json,open-apply-jobs,2024-07-03,2026-06-24,870,,,
Resilinc,resilinc,https://jobs.lever.co/resilinc,https://api.lever.co/v0/postings/resilinc?mode=json,open-apply-jobs,2025-01-29,2026-05-21,296,,,
Restaurant365,restaurant365,https://jobs.lever.co/restaurant365,https://api.lever.co/v0/postings/restaurant365?mode=json,open-apply-jobs,2025-07-16,2026-06-17,1655,,,
Retro,retro,https://jobs.lever.co/retro,https://api.lever.co/v0/postings/retro?mode=json,open-apply-jobs,2022-03-14,2026-06-22,439,,,
Revealtech,revealtech,https://jobs.lever.co/revealtech,https://api.lever.co/v0/postings/revealtech?mode=json,open-apply-jobs,2024-05-29,2026-06-24,403,,,
Revefi,revefi,https://jobs.lever.co/revefi,https://api.lever.co/v0/postings/revefi?mode=json,open-apply-jobs,2022-07-07,2026-01-22,537,,,
Revhealth,revhealth,https://jobs.lever.co/revhealth,https://api.lever.co/v0/postings/revhealth?mode=json,open-apply-jobs,2026-01-22,2026-02-24,384,,,
Revinate,revinate,https://jobs.lever.co/revinate,https://api.lever.co/v0/postings/revinate?mode=json,open-apply-jobs,2025-04-30,2026-06-23,212,,,
Reviverx,reviverx,https://jobs.lever.co/reviverx,https://api.lever.co/v0/postings/reviverx?mode=json,open-apply-jobs,2025-05-12,2026-06-24,433,,,
Rezotx,rezotx,https://jobs.lever.co/rezotx,https://api.lever.co/v0/postings/rezotx?mode=json,open-apply-jobs,2022-11-16,2026-06-24,158,,,
Rfa,rfa-2,https://jobs.lever.co/rfa-2,https://api.lever.co/v0/postings/rfa-2?mode=json,open-apply-jobs,2025-08-04,2026-06-25,428,,,
Rgi,rgi,https://jobs.lever.co/rgi,https://api.lever.co/v0/postings/rgi?mode=json,open-apply-jobs,2023-12-14,2026-05-20,918,,,
Rhombus Systems,rhombus-systems,https://jobs.lever.co/rhombus-systems,https://api.lever.co/v0/postings/rhombus-systems?mode=json,open-apply-jobs,2021-09-30,2026-03-09,560,,,
Richards Supply,richards-supply,https://jobs.lever.co/richards-supply,https://api.lever.co/v0/postings/richards-supply?mode=json,open-apply-jobs,2025-02-05,2026-06-22,4754,,,
Rideonewheel,rideonewheel,https://jobs.lever.co/rideonewheel,https://api.lever.co/v0/postings/rideonewheel?mode=json,open-apply-jobs,2015-11-11,2026-05-12,224,,,
Ridezum,ridezum,https://jobs.lever.co/ridezum,https://api.lever.co/v0/postings/ridezum?mode=json,open-apply-jobs,2025-03-05,2026-06-23,3790,,,
Rigetti,rigetti,https://jobs.lever.co/rigetti,https://api.lever.co/v0/postings/rigetti?mode=json,open-apply-jobs,2020-03-12,2026-06-12,902,,,
Rightformula,rightformula,https://jobs.lever.co/rightformula,https://api.lever.co/v0/postings/rightformula?mode=json,open-apply-jobs,2025-05-23,2026-06-23,609,,,
Rightsideup,rightsideup,https://jobs.lever.co/rightsideup,https://api.lever.co/v0/postings/rightsideup?mode=json,open-apply-jobs,2023-12-18,2026-05-29,1834,,,
Riocan,riocan,https://jobs.lever.co/riocan,https://api.lever.co/v0/postings/riocan?mode=json,open-apply-jobs,2024-08-28,2026-06-17,595,,,
